borough_code,borough_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean
E09000001,City of London,107,120,86,124,252,321,311,315,275,351,316,234 
E09000002,Barking and Dagenham,1484,1382,1154,752,822,998,921,1261,1545,1436,1428,1198 
E09000003,Barnet,2549,2362,2638,2199,2302,2367,2944,3551,4322,4613,4614,3133 
E09000004,Bexley,1271,1087,1180,1249,1469,1623,1668,1445,1523,1596,1884,1454 
E09000005,Brent,1130,1181,1073,968,1103,1126,1662,2297,2734,3204,2813,1754 
E09000006,Bromley,2653,2646,2751,2645,2636,2986,2994,3070,3489,3646,3700,3020 
E09000007,Camden,2804,2859,2617,2848,3018,3769,3878,4645,4771,4498,4320,3639 
E09000008,Croydon,2846,2564,3130,2810,3511,3670,3710,4089,3885,3682,3946,3440 
E09000009,Ealing,2535,2529,3209,3587,4187,4198,2595,2541,2987,3228,3155,3159 
E09000010,Enfield,2224,1919,1907,2298,2349,2970,3158,3103,3072,2956,3029,2635 
E09000011,Greenwich,2049,1839,1796,1523,1750,1698,1867,1759,2531,2549,2423,1980 
E09000012,Hackney,2227,2013,2268,2146,1962,1980,2043,2562,2053,2369,2174,2163 
E09000013,Hammersmith and Fulham,988,1078,831,837,822,696,659,751,1010,1252,1259,926 
E09000014,Haringey,1435,1357,2397,2537,2481,2619,2268,2488,2549,3482,3066,2425 
E09000015,Harrow,1009,838,825,1440,1694,1123,1956,2757,2789,2869,2972,1843 
E09000016,Havering,1890,1447,1352,1259,1427,1628,1669,2033,1954,1905,2191,1705 
E09000017,Hillingdon,1715,1381,1399,1799,2053,2237,2061,2156,1575,1522,1651,1777 
E09000018,Hounslow,1788,2250,1095,843,730,757,1984,2851,3621,3379,3582,2080 
E09000019,Islington,1580,1982,2981,1414,1561,1909,1995,2379,2449,2292,2239,2071 
E09000020,Kensington and Chelsea,2509,2269,2145,2062,2119,1916,2067,2756,3019,3196,3110,2470 
E09000021,Kingston upon Thames,999,1314,1206,1523,1548,1690,1676,1814,1849,1945,1981,1595 
E09000022,Lambeth,2190,2025,1980,1446,1724,1910,1849,2303,3620,3469,3553,2370 
E09000023,Lewisham,1894,1835,2131,2182,2464,2458,2338,2964,3239,2845,2389,2431 
E09000024,Merton,1190,1321,1249,1189,1436,1430,1498,1881,2287,2431,2550,1678 
E09000025,Newham,1971,2392,2025,1338,1709,1893,3273,4103,4283,4074,3812,2807 
E09000026,Redbridge,1513,1162,1293,1241,1359,1735,1875,1913,2176,2362,2394,1729 
E09000027,Richmond upon Thames,1449,1211,1136,1349,1338,1368,1388,1513,1532,1505,1734,1411 
E09000028,Southwark,2668,2822,4677,5041,5944,6761,6303,4218,4976,4452,5143,4819 
E09000029,Sutton,1874,1742,1799,1772,1779,1955,2165,2368,2436,2423,2366,2062 
E09000030,Tower Hamlets,1588,1721,1844,2278,1669,1832,3308,3566,3325,4527,2661,2574 
E09000031,Waltham Forest,1338,1122,1143,1280,1467,1782,1791,2112,2429,2337,2454,1750 
E09000032,Wandsworth,1472,1390,1309,1139,898,776,804,1076,977,880,852,1052 
E09000033,Westminster,2374,1555,1255,978,783,874,988,1655,2449,2233,2002,1559 
